text,created_at,retweet_count,favorite_count,is_retweet,id_str
RT @JeanneShaheen: We just voted to elect the 1st woman to be our President. Let me tell you it feels amazing! #nhpolitics https://t.co/iK…,11/8/2016 16:15,1790,0,TRUE,7.96023E+17
RT @elizabethforma: This morning I proudly cast my vote for @HillaryClinton to be the next President of the United States. #ImWithHer https…,11/8/2016 16:10,5128,0,TRUE,7.96022E+17
RT @POTUS: Today progress is on the ballot. Go vote - then make sure your friends your family and everyone you know votes too.,11/8/2016 16:03,58369,0,TRUE,7.9602E+17
RT @EricaSmegs: Don't worry Mom I'll remember to vote today even though ur not here to remind me. Love you. This one is for you. https://…,11/8/2016 15:19,2929,0,TRUE,7.96009E+17
Happy Election Day! https://t.co/jfd3CXLD1s https://t.co/IfOBRuvQzJ,11/8/2016 15:09,7232,26061,FALSE,7.96007E+17
Today's the day when we show how much stronger we are together. Once you’ve voted sign up for a volunteer shift:… https://t.co/khCcNeoYal,11/8/2016 15:03,1725,5234,FALSE,7.96005E+17
RT @ChelseaClinton: Couldn’t be more proud of my mom &amp; the campaign she's run. Let’s bring it home for her today. https://t.co/Mw1JC5L9rj,11/8/2016 14:52,3048,0,TRUE,7.96003E+17
RT @repjohnlewis: The right to vote is precious almost sacred. It is the most powerful nonviolent tool or instrument we have in a democrat…,11/8/2016 14:26,18010,0,TRUE,7.95996E+17
RT @JeremyShorr: She once told me girls couldn't be #astronauts or #presidents. Showed her #SallyRide. Hope to show her @HillaryClinton tom…,11/8/2016 14:22,2948,0,TRUE,7.95995E+17
Everything we’ve worked toward comes down to today. RT this if you're voting for Hillary: https://t.co/jfd3CXLD1s https://t.co/AhvOOB6L6C,11/8/2016 13:59,63205,85320,FALSE,7.95989E+17
RT @timkaine: I wanted to be first at my polling place but 99-year-old Minerva Turpin beat me to it. Looks like I need to get used to bein…,11/8/2016 13:23,26191,0,TRUE,7.9598E+17
Let’s go make some history today. https://t.co/jfd3CXLD1s https://t.co/IbRcWWun7J,11/8/2016 13:00,13751,28598,FALSE,7.95974E+17
RT @TheDemocrats: Let us bend the arc of history toward justice once more. https://t.co/JjkvA5ZKTj,11/8/2016 12:47,3067,0,TRUE,7.95971E+17
RT @johnlegend: Donald Trump is unfit for the office of president. Fortunately there's an exceptionally qualified candidate @HillaryClinto…,11/8/2016 12:35,10257,0,TRUE,7.95968E+17
It's Election Day! Millions of Americans have cast their votes for Hillary—join them and confirm where you vote: https://t.co/jfd3CXLD1s,11/8/2016 12:01,2704,7634,FALSE,7.9596E+17
Don't stand still. Vote today: https://t.co/jfd3CXLD1s #ElectionDay #MannequinChallenge https://t.co/4KAv2zu0rd,11/8/2016 11:47,54352,95352,FALSE,7.95956E+17
It’s Election Day and polls are officially open. When will you vote today? Confirm where to go here:… https://t.co/msNrG1MBGB,11/8/2016 11:01,3145,6929,FALSE,7.95944E+17
There's no such thing as a vote that doesn't count. Today you can make the difference.RT this—and go vote!… https://t.co/nIiPIKOieu,11/8/2016 10:07,9077,15171,FALSE,7.95931E+17
In America we build bridges not walls.Let’s go out and prove that love trumps hate.https://t.co/jfd3CXLD1s https://t.co/VTl1jexKON,11/8/2016 6:13,4835,10365,FALSE,7.95872E+17
"If you believe we should never write discrimination into our laws...you’ve got to vote!” —Hillary https://t.co/jfd3CXLD1s,11-08-2016 06:08:56,1623,4493,false,795870702834515968
If you believe in science and that we have to act on climate change then you have to vote!"" —Hillary https://t.co/jfd3CXLD1s",11/8/2016 6:08,1364,3406,FALSE,7.9587E+17
"It’s not just my name or Donald Trump’s name on the ballot—it’s the kind of country we want.” —Hillary https://t.co/jfd3CXLD1s,11-08-2016 06:04:26,1136,3415,false,795869569709735936
“You can vote for a hopeful inclusive big-hearted vision for America.” —Hillary https://t.co/jfd3CXLD1s https://t.co/JJcIfaLSSf,11-08-2016 06:01:25,1062,2705,false,795868808367968256
“I believe that she will win!I believe that she will win!” https://t.co/DhNoz11ARV,11-08-2016 05:58:27,4022,7734,false,795868063761657856
I am so excited that I finally get to vote for my mom in a few hours.” —@ChelseaClinton https://t.co/jfd3CXLD1s",11/8/2016 5:47,1004,3423,FALSE,7.95865E+17
RT @rubycramer: Final rally of the Hillary Clinton campaign in Raleigh N.C. and it's officially Tuesday Nov. 8. https://t.co/EhOKHvnHtA,11/8/2016 5:31,2062,0,TRUE,7.95861E+17
Join Hillary for her last rally of the campaign in Raleigh North Carolina: https://t.co/a6K9DWYY3e,11/8/2016 5:13,1319,5608,FALSE,7.95857E+17
Stronger together. https://t.co/9TkaJrjW0a,11/8/2016 4:52,18630,54410,FALSE,7.95851E+17
If you believe that racism and sexism and bigotry have no place in our country...you need to vote. https://t.co/nIOvu5x85c,11/8/2016 4:08,4285,10394,FALSE,7.9584E+17
RT @RobbyMook: We've broken early vote records across the country. Tomorrow history is up to you @HFA volunteers! #GOTVforHRC https://t.c…,11/8/2016 3:48,2934,0,TRUE,7.95835E+17
27 million Latinos are eligible to vote this year.Millions have already voted.Ready to join them?… https://t.co/iwXHFHbquc,11/8/2016 3:09,5238,14619,FALSE,7.95826E+17
“Let’s make history!” —Hillary https://t.co/33JmMKRfR4,11/8/2016 2:32,9144,20135,FALSE,7.95816E+17
“We need your help knocking on doors and making phone calls helping to turn people out.” —Hillary https://t.co/iWKBOE1i18,11/8/2016 2:28,1367,3965,FALSE,7.95815E+17
"I am not going to let anybody rip up the progress that we’ve made.” —Hillary https://t.co/8wuWIUfBst,11-08-2016 02:27:21,1985,4733,false,795814936970756097
Tomorrow we face the test of our time. What will we vote for?” —Hillary https://t.co/jfd3CXLD1s https://t.co/6qcgsS0qjp",11/8/2016 2:24,1055,2927,FALSE,7.95814E+17
"We don’t want to shrink the vision of this country. We want to keep expanding it.” —Hillary,11-08-2016 02:20:51,1134,2952,false,795813304459468800
I believe with all my heart that our best days are still ahead of us if we reach for them together.” —Hillary in Philly",11/8/2016 2:17,1355,3401,FALSE,7.95813E+17
"I am betting that tomorrow you will reject fear and you'll choose hope.” —@POTUS,11-08-2016 02:11:52,1935,4472,false,795811042819473408
I’m betting that young people turn out to vote because your future is at stake.” —@POTUS",11/8/2016 2:11,1147,3012,FALSE,7.95811E+17
"RT @CNN: President Obama: ""We now have the chance to elect a 45th president who will build on our progress"" https://t.co/naPsHB84G4",11/8/2016 2:07,3770,0,TRUE,7.9581E+17
“Don’t boo vote!” —@POTUS https://t.co/jfd3CXLD1s https://t.co/LPGUUEty3E,11/8/2016 2:06,2139,4840,FALSE,7.9581E+17
“You don’t just have to vote against someone you have somebody extraordinary to vote for.” —@POTUS https://t.co/o70dVreNPB,11/8/2016 2:02,2099,4837,FALSE,7.95809E+17
"If his closest advisors don’t trust him to tweet why would any of us trust him with the nuclear codes?” —@POTUS on Trump,11-08-2016 02:00:15,1821,3640,false,795808117925810176
Tomorrow...the choice you face when you step into that voting booth could not be more clear and could not be more serious.” —@POTUS",11/8/2016 1:59,835,1996,FALSE,7.95808E+17
"We have a chance to elect a 45th president who will build on our progress who will finish the job.” —@POTUS,11-08-2016 01:58:15,789,1934,false,795807616916197376
“Hello Philadelphia! Are you fired up? Are you ready to go?” —@POTUS https://t.co/m3diE0KsAY,11-08-2016 01:56:57,593,1779,false,795807286375682048
Tomorrow with your vote you can say that this country has always been great that it is the greatest nation on earth.” —@FLOTUS",11/8/2016 1:51,1091,2613,FALSE,7.95806E+17
“Tomorrow with your vote you can stand up to those who seek to divide us and make us afraid.” —@FLOTUS #ImVotingBecause,11/8/2016 1:50,2145,4544,FALSE,7.95806E+17
“This election is on us; it is in our hands. If we get out and vote tomorrow Hillary Clinton will win.” —@FLOTUS https://t.co/jfd3CXLD1s,11/8/2016 1:49,665,1421,FALSE,7.95806E+17
“We have a duty to ensure that this country is handed over to a leader that we all can trust.” —@FLOTUS on Hillary,11/8/2016 1:49,704,1605,FALSE,7.95805E+17
“When the going gets tough Hillary is the person we want on our side because she never gives up. She never quits.” —@FLOTUS,11/8/2016 1:44,961,2336,FALSE,7.95804E+17
“Tomorrow we have the chance to elect someone who is singularly qualified to be our president—our friend Hillary… https://t.co/gAGljl2DnB,11/8/2016 1:44,1755,4359,FALSE,7.95804E+17
“No matter what came along no matter what they hit her with … no matter what happened she said ‘We’re stronger together.’” —@BillClinton,11/8/2016 1:41,957,2337,FALSE,7.95803E+17
You don’t want to miss this one: Join Hillary @POTUS @FLOTUS @BillClinton and @ChelseaClinton live in Philly. https://t.co/UUuA1bxeIv,11/8/2016 1:37,2645,10686,FALSE,7.95802E+17
Hillary is the role model Michelle and I want for our daughters and for kids across the country. —@POTUS https://t.co/AnLw4t3349,11/8/2016 0:08,3844,10824,FALSE,7.9578E+17
RT @JoshSchwerin: Philly is out in full force tonight https://t.co/k9pl43izHZ,11/8/2016 0:07,2604,0,TRUE,7.9578E+17
Tomorrow we have the chance to stand up for the America we believe in. RT this if you're voting.… https://t.co/7T7UqlIvGt,11/7/2016 23:31,10969,16297,FALSE,7.95771E+17
Yesterday Khizr Khan told the story of a 10-year-old boy who was bullied at school—until his class watched Mr. Kha… https://t.co/54oWoGm9B8,11/7/2016 22:59,6745,18980,FALSE,7.95763E+17
Women can stop Trump.Here's how: https://t.co/jfd3CXu1CS https://t.co/f28w22yOXq,11/7/2016 22:24,4825,9522,FALSE,7.95754E+17
"If your closest advisors don’t trust you to tweet how can we trust you with the nuclear codes?” —@POTUS on Trump,11-07-2016 22:07:51,14163,35312,false,795749635126161408
RT @CNN: Hillary Clinton: This election is basically between division and unity in our country."" https://t.co/nfLKayaIwh https://t.co/kdD6…",11/7/2016 22:03,2120,0,TRUE,7.95749E+17
"I want to be a president for all Americans: Democrats Republicans Independents. Not just people who support me but everyone.” —Hillary,11-07-2016 21:48:21,2833,7637,false,795744725303234562
Public colleges and universities should be tuition-free for anyone who makes less than $125000 a year.” —Hillary https://t.co/axHVelhvXh",11/7/2016 21:44,1698,4841,FALSE,7.95744E+17
"If you work hard and you work full-time you shouldn’t still be in poverty at the end of the year.” —Hillary,11-07-2016 21:37:10,1378,3535,false,795741909515898881
Every single one of us has something to contribute to this great country.” —Hillary https://t.co/hCBaY6ZHYo",11/7/2016 21:28,1216,2931,FALSE,7.9574E+17
"I really believe that America’s best days are still ahead of us if we reach for them together!” —Hillary… https://t.co/XQBrcWjPlg,11-07-2016 21:25:59,956,2522,false,795739098514391040
Are you ready to vote tomorrow Michigan? Are you ready to help get your friends to vote?” —Hillary… https://t.co/aJGjAvIDNj",11/7/2016 21:21,817,2181,FALSE,7.95738E+17
“The choice in this election could not be clearer...this election is basically between division and unity in our co… https://t.co/axyCv4Al3G,11/7/2016 21:18,1208,2810,FALSE,7.95737E+17
Join Hillary in Grand Rapids Michigan for one of her last rallies of the campaign: https://t.co/jJKydSK4DR,11/7/2016 21:12,1216,4820,FALSE,7.95736E+17
Look how far we've come from having no voice to being on the brink of making history. —@Beyonce… https://t.co/MQs4Ep6WDt,11/7/2016 20:43,6982,14764,FALSE,7.95728E+17
Latino voters will have a powerful impact on this election—and are already showing record turnout. Be part of this:… https://t.co/xn931No4p0,11/7/2016 19:15,7340,14400,FALSE,7.95706E+17
"RT @clionamccarney: 89 year old Elizabeth was out knocking doors in #VirWINia for Hillary today because this election is ""too important to…",11/7/2016 19:00,2863,0,TRUE,7.95703E+17
America depends on you—you all of you. ... I didn’t say 'Yes I can.' I said 'Yes we can.' —@POTUS https://t.co/oHVglCTncQ,11/7/2016 18:30,4676,11955,FALSE,7.95695E+17
"RT @politico: Chelsea Clinton on @HillaryClinton: ""I am fiercely ridiculously proud to be her daughter."" https://t.co/72UKFDqNWE",11/7/2016 18:16,2480,0,TRUE,7.95691E+17
"I voted for Hillary Clinton because I am absolutely confident that when she is president this country will be in… https://t.co/RnPxkX398g,11-07-2016 18:03:12,6690,19696,false,795688066065297408
Vote for an America where we build bridges not walls.Together let’s prove that love trumps hate.… https://t.co/ZCV69HA6gp,11-07-2016 17:57:58,2089,4745,false,795686748433092608
Tomorrow is the election but that is just the beginning."" —Hillary https://t.co/i6NFjnrb35 https://t.co/cYI3OuFMEA",11/7/2016 17:52,1775,5255,FALSE,7.95685E+17
This has to be our mission together—doing everything we can to help all our kids and every American live up to their God-given potential.,11/7/2016 17:46,929,2391,FALSE,7.95684E+17
If you believe all our kids should have good schools and good teachers no matter what ZIP code they live in then… https://t.co/LGrRPcQFzT,11/7/2016 17:45,1141,2807,FALSE,7.95684E+17
If you believe that America thrives when the middle class thrives then you have to vote. https://t.co/jfd3CXLD1s https://t.co/H4FdKU7IxL,11/7/2016 17:42,814,1990,FALSE,7.95683E+17
“I believe America’s best days are still ahead of us.” —Hillary https://t.co/hzhThRsb3x,11/7/2016 17:39,991,2430,FALSE,7.95682E+17
"We don’t have to accept a dark and divisive vision for America. Tomorrow you can vote for a hopeful inclusive b… https://t.co/AequOcpVzQ,11-07-2016 17:36:57,1330,2757,false,795681456886579200
Tomorrow’s the day! Join Hillary as she campaigns in Pittsburgh on the eve of Election Day. https://t.co/jJKydSK4DR,11-07-2016 17:34:01,1721,6544,false,795680720001921025
Today I'm asking for your vote. Tomorrow let's make history together."" —Hillary https://t.co/jfd3CXu1CS https://t.co/TFyaTifghr",11/7/2016 17:23,22293,44509,FALSE,7.95678E+17
RT @JesseRodriguez: NBC News: As of today over 43 million votes have been cast nationwide with nearly 20 million in 12 battleground states,11/7/2016 17:16,810,0,TRUE,7.95676E+17
Share this if you know someone who needs to see it. https://t.co/i6NFjnrb35 https://t.co/NtAV1dmh1Y,11/7/2016 16:33,7270,12553,FALSE,7.95665E+17
RT @XochitlHinojosa: In FL over 1 million Latino voters have cast ballots early --  approximately doubled from 2012.  Amazing.,11/7/2016 16:17,2053,0,TRUE,7.95661E+17
Our children and grandchildren will look back at the choice we make on Tuesday. Let's make them proud.… https://t.co/c6mG8OZ1yr,11/7/2016 15:07,5377,12239,FALSE,7.95644E+17
America is better than Donald Trump. https://t.co/jfd3CXLD1s https://t.co/UYMwkmmxKf,11/7/2016 13:59,4886,10478,FALSE,7.95627E+17
Tomorrow caps an amazing journey but the work we have to do is just beginning. https://t.co/ulXFcHXcTS,11/7/2016 12:57,2810,8330,FALSE,7.95611E+17
Women's rights are human rights—and 132 more reasons Hillary should be our next president. https://t.co/HdDk0FhUBF,11/7/2016 4:23,4620,10997,FALSE,7.95482E+17
Pantsuit up. https://t.co/3TKJ4H68Kz https://t.co/vQY0YeDzEB,11/7/2016 3:57,6232,20661,FALSE,7.95475E+17
This one's for you Hillary. https://t.co/KtzpIpSziO,11/7/2016 3:11,24628,49775,FALSE,7.95464E+17
RT @AdamSmith_usa: Hillary passed Obama in total black voters who participated in Early Voting in Florida. 2012: 5390002016: 564000 (n…,11/7/2016 2:29,6379,0,TRUE,7.95453E+17
“This election is about you…your dreamsyour aspirationsyour hopesyour familyyour community.” —Hillaryhttps://t.co/3TKJ4H68Kz,11/7/2016 2:18,1767,4674,FALSE,7.9545E+17
"What’s really on the ballot is what kind of country we want for our children and grandchildren.” —Hillary https://t.co/ihTi53NFJO,11-07-2016 02:05:33,2146,5951,false,795447064649957376
RT @ABCPolitics: Khizr Khan: Thankfully Mr. Trump this isn't your America"" https://t.co/c7leuCE9uR https://t.co/6i1c2xwsgg",11/7/2016 1:57,4029,0,TRUE,7.95445E+17
“This election is a reckoning. It is a choice between division and unity.” —Hillary https://t.co/3TKJ4H68Kz,11/7/2016 1:55,980,2524,FALSE,7.95445E+17
“We should all be grateful that this remarkable family decided to make America their home.” —Hillary on the Khan family,11/7/2016 1:54,991,2835,FALSE,7.95444E+17
“He and his family exemplify the values that make America great.” —Hillary on Khizr Khan https://t.co/L6axuHYv1n,11/7/2016 1:51,1262,2903,FALSE,7.95443E+17
"Would my son Capt. Humayun Khan have a place in your America?…Would anyone who isn’t like you? —Khizr Khan to Donald Trump,11-07-2016 01:46:22,957,2251,false,795442237664612352
Hillary and @JamesTaylor_com are live in New Hampshire with two days to go. Watch here: https://t.co/oa4NZ1hEHU,11-07-2016 01:38:57,1457,5481,false,795440369039187968
RT @tyleroakley: we're in line to vote early &amp; not leaving until we cast our vote!! if you have ANY questions at YOUR polls call 1-844-IM4-…,11-07-2016 01:21:05,4182,0,true,795435873546436609
A rally fit for a King. https://t.co/3TKJ4H68Kz https://t.co/uDK8NDu8RC,11-07-2016 01:00:29,2404,8270,false,795430689567084544
RT @HFA: A lot's changed since 1992. https://t.co/6JXiNkDU4n,11-07-2016 00:49:38,1213,0,true,795427957837856768
Florida in the rain. https://t.co/J6g0R08xSY,11-07-2016 00:23:38,5206,21842,false,795421414274830336
My son was Captain Humayun Khan ... and he was a Muslim American. I want to ask Mr. Trump: Would my son have a pla… https://t.co/XzjM7mAhvS",11/6/2016 23:56,8145,20170,FALSE,7.95415E+17
RT @HillaryforMN: Somali-Americans are not a burden or a threat—they are our neighbors. We are #StrongerTogether. https://t.co/mmxcXYUuqX,11/6/2016 23:46,1785,0,TRUE,7.95412E+17
This is what it's about:All the good we canfor all the people we canfor as long as we can.… https://t.co/vJcRZMILoR,11/6/2016 23:31,5223,11642,FALSE,7.95408E+17
"RT @colinjones: Here is LeBron introducing Hillary: ""We have to get out and make sure we vote"" https://t.co/LUuSuKRdlx",11/6/2016 22:04,7454,0,TRUE,7.95386E+17
RT @ericwms: Her last visit to Ohio and it's amazing. I believe that she will win! #OHHillYes #OHVotesEarly https://t.co/eKHQbtwOF7,11/6/2016 22:01,2914,0,TRUE,7.95386E+17
RT @dougmillsnyt: .@HillaryClinton with @KingJames in Cleveland Ohio. #voting https://t.co/QYkNfmYcOh,11/6/2016 21:54,5977,0,TRUE,7.95384E+17
"I want every public college and university to be tuition-free for every family making less than $125000 a year.” —Hillary in Cleveland,11-06-2016 21:54:07,2047,5919,false,795383790956847104
I want an America where everyone has a place where everyone is included.” —Hillary in Ohio https://t.co/SnflwVAzkr",11/6/2016 21:47,2298,5962,FALSE,7.95382E+17
America is great because America is good and if we…lift each other up instead of tearing each other down we can be even greater.,11/6/2016 21:45,1520,3280,FALSE,7.95382E+17
"I love our country and I believe in our people and I will never ever quit on you. No matter what.” —Hillary in Ohio,11-06-2016 21:43:26,1383,3071,false,795381101665648642
“Our next president Ms. Hillary Clinton!” —@KingJames https://t.co/KPu8RdGuxq https://t.co/1TOlgQLXaD,11-06-2016 21:40:45,1774,3668,false,795380423509602305
We have to get out and make sure we vote.” —@KingJames in Ohio with HIllary https://t.co/3TKJ4H68Kz",11/6/2016 21:35,897,1999,FALSE,7.95379E+17
Hillary and @KingJames are live in Cleveland with two days to go. Watch here: https://t.co/KPu8RdGuxq,11/6/2016 21:33,1848,6298,FALSE,7.95379E+17
You want to give me a good send-off? Go vote! —@POTUS https://t.co/3TKJ4H68Kz https://t.co/rqxDSQF4pG,11/6/2016 21:24,3768,9653,FALSE,7.95376E+17
Loved this moment from last night. Thanks to @KatyPerry @JenCarlosMusic and everyone out on the trail helping to… https://t.co/jSsMzyyKyX,11/6/2016 20:55,3992,14651,FALSE,7.95369E+17
We don't want to go back. We want to go forward. —@RepJohnLewis https://t.co/3TKJ4H68Kz https://t.co/ZmWyB40o1M,11/6/2016 20:05,4049,8348,FALSE,7.95357E+17
"RT @hannahbfine: ""The first president I got to vote for was black like me. And now I get to vote for a lady. It's just amazing."" -Dominique…",11/6/2016 18:56,4648,0,TRUE,7.95339E+17
The photos that tell the story of Hillary’s career and what she stands for. https://t.co/N0jBiu0fz1,11/6/2016 18:02,2353,5386,FALSE,7.95325E+17
10 minutes of Donald Trump demeaning objectifying and insulting women. https://t.co/3TKJ4H68Kz https://t.co/bgQKjNJqwR,11/6/2016 17:00,4596,6281,FALSE,7.9531E+17
We are better than bigotry fear and hate.Share this if you agree. https://t.co/3TKJ4H68Kz https://t.co/P3XekjLyza,11/6/2016 16:39,6446,11661,FALSE,7.95305E+17
RT @HillaryforPA: BREAKING: @HillaryClinton to campaign in Pittsburgh tomorrow Nov. 7 at the Cathedral of Learning in Oakland. RSVP: https…,11/6/2016 16:37,1282,0,TRUE,7.95304E+17
RT @HillaryforPA: UPDATED: Our #StrongerTogether Rally on Monday Nov 7 will be held at Independence Hall. Doors open at 4pm. RSVP: https:/…,11/6/2016 16:18,1704,0,TRUE,7.95299E+17
RT @creynoldsnc: No one keeps us more informed or entertained from the road than @NickMerrill. We miss him in HQ but this helps:  https://…,11/6/2016 15:35,366,0,TRUE,7.95288E+17
She is a fighter for what is right what is fair and what is just. —@RepJohnLewis: https://t.co/jfd3CXu1CS https://t.co/MRqG1FtTIL,11/6/2016 15:03,5616,12433,FALSE,7.95281E+17
Isn't it time to have a mom in the Oval Office? https://t.co/jfd3CXLD1s https://t.co/btBI9jL3wF,11/6/2016 13:57,3482,12342,FALSE,7.95264E+17
“The reason a lot of [Ku Klux] Klan members like Donald Trump is because a lot of what he believes we believe in.” https://t.co/WcsNiEHBUI,11/6/2016 12:58,4887,7835,FALSE,7.95249E+17
We face a serious choice on Tuesday: Will we act to protect the planet for our kids and grandkids or do nothing?… https://t.co/MZXqJ4kVo3,11/6/2016 3:02,3391,8637,FALSE,7.95099E+17
Today in 1872 Susan B. Anthony voted—and was then arrested. Almost 50 years later the 19th Amendment was ratified… https://t.co/6ADXbpW0Oq,11/6/2016 2:43,7366,14591,FALSE,7.95094E+17
Nobody respects women more than me. —Donald TrumpOther things he's said about women: https://t.co/fM9h1WYHkK,11/6/2016 2:03,16946,28823,FALSE,7.95084E+17
More people are voting in this election than ever before. Make a plan to vote today: https://t.co/3TKJ4H68Kz https://t.co/hi7IsIZQni,11/6/2016 1:35,3009,8993,FALSE,7.95077E+17
Text JOIN to 47246 and sign up to help us get out the vote. https://t.co/mUrVhU3YYL,11/6/2016 0:29,1074,2934,FALSE,7.9506E+17
Join Hillary @KatyPerry and @ShondaRhimes live in Philadelphia for a special GOTV concert: https://t.co/HVnJV7ccxc,11/6/2016 0:25,1731,5833,FALSE,7.9506E+17
Thank you to @Beyonce @S_C_ @Pharrell @ChanceTheRapper @BigSean @JColeNC and all the amazing artists helping to get out the vote. -H,11/6/2016 0:13,4922,18471,FALSE,7.95056E+17
For respect.For the future.For our planet.On Tuesday they're gonna hear us roar: https://t.co/3TKJ4HnJC7 https://t.co/3G9XwUq6Mb,11/5/2016 23:31,6272,13123,FALSE,7.95046E+17
Your vote could make all the difference. Confirm where you'll cast your vote for Hillary: https://t.co/3TKJ4H68Kz https://t.co/6SNysBsVHs,11/5/2016 22:13,2560,7490,FALSE,7.95026E+17
Five women older than their right to vote share why they're with Hillary: https://t.co/qEOAiwDGyH,11/5/2016 21:35,3805,9470,FALSE,7.95017E+17
The story of this campaign. https://t.co/8cft9HD0RI,11/5/2016 20:43,42247,82881,FALSE,7.95004E+17
RT @nowthisnews: Jay Z says Donald Trump can't be our president because he divides us https://t.co/7WsGruabQv,11/5/2016 20:17,8248,0,TRUE,7.94997E+17
The energy we're seeing on this campaign isn't about what we're against but what we're for—an inclusive America whe… https://t.co/qe4uLdaqS4,11/5/2016 19:25,4913,13605,FALSE,7.94984E+17
When they go low...we vote: https://t.co/3TKJ4HnJC7 https://t.co/xQ6ETiGMmX,11/5/2016 19:06,4500,10245,FALSE,7.94979E+17
RT @ABCPolitics: .@HillaryClinton concludes Florida rally in the pouring rain https://t.co/tevppdQBVz https://t.co/5wOiGCEvLK,11/5/2016 18:26,3272,0,TRUE,7.94969E+17
RT @LEFsAdventures: The line to get in to get canvas packets for Hillary in South Philly. I cried a little with joy. #teamawesome #proudtob…,11/5/2016 18:15,3656,0,TRUE,7.94966E+17
RT @RobbyMook: Despite rain thousands here in Pembroke Pines to VOTE EARLY. We are soaked but psyched! https://t.co/kylJKXREz3,11/5/2016 18:04,2664,0,TRUE,7.94964E+17
"Donald you don’t want to go there.” —Hillary on Trump asking what she’s done for the past 30 years https://t.co/j780NLwguv,11-05-2016 17:46:00,2090,5257,false,794958958960279552
We are seeing large numbers of people turning out breaking records.Make sure you’re ready to vote too: https://t.co/3TKJ4H68Kz,11-05-2016 17:44:06,1258,4056,false,794958484571885568
In just 3 days we have the chance to make history:Join Hillary live in Florida as she gets out the vote: https://t.co/oa4NZ1hEHU,11-05-2016 17:41:25,1979,6843,false,794957806797516804
If you believe in a better stronger fairer America:Vote. https://t.co/3TKJ4H68Kz https://t.co/txByLknaxT,11-05-2016 16:41:33,2719,7433,false,794942742220697600
RT @brianefallon: .@NickMerrill's wit perceptiveness and knowledge of @HillaryClinton sure do make for a compelling podcast interviewhttp…,11-05-2016 16:33:59,470,0,true,794940835347435520
RT @nytimes: The front page of The New York Times Nov. 5 2016 https://t.co/jqstjvHjAk,11-05-2016 15:02:59,4877,0,true,794917936070803457
RT @CP3: Make a plan to vote! #IMWITHHER https://t.co/lpQIRgIipR https://t.co/ZwRI8vw3dX,11-05-2016 14:42:09,2970,0,true,794912693203374084
RT if you agree we need to keep moving forward not back. https://t.co/3TKJ4H68Kz https://t.co/uMsYLKaTCc,11-05-2016 14:18:57,8730,10793,false,794906854216396800
That reporter and I have the same condition. When Mr. Trump made fun of him that hurt my feelings."" https://t.co/fOwLxPsa37",11/5/2016 13:28,15550,25998,FALSE,7.94894E+17
Ask yourself: Is this man fit to be the next president of the United States? https://t.co/caW4sPh7id,11/5/2016 12:56,3816,6406,FALSE,7.94886E+17
